YearStart,LocationAbbr,LocationDesc,DataSource,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Class,Topic,Question,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Break_Out_Category,Break_Out,ClassId,TopicId,QuestionId,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationId,GeoLocation
2019,US,United States,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",5395.0,5395.0,,,5381.7,5408.2,Gender,Male,C1,T1,MD101,Crude,BOC02,GEN01,59,
2019,NV,Nevada,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",4383.0,4383.0,,,3912.6,4910.0,Race,Hispanic,C1,T1,MD101,Crude,BOC04,RAC04,32,POINT (-117.0718406 39.49324039)
2019,IA,Iowa,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),4.3,4.3,,,1.8,10.3,Race,Non-Hispanic Black,C1,T2,MD203,Crude,BOC04,RAC02,19,POINT (-93.81649056 42.46940091)
2019,NJ,New Jersey,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",3506.2,3506.2,,,3452.9,3560.3,Gender,Female,C1,T2,MD201,Crude,BOC02,GEN02,34,POINT (-74.27369129 40.13057005)
2019,LA,Louisiana,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),5.4,5.4,,,4.9,5.9,Age,75+,C1,T2,MD203,Crude,BOC03,AGE08,22,POINT (-92.44568007 31.31266064)
2019,ME,Maine,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",2389.0,2389.0,,,1913.5,2982.6,Race,Unknown,C1,T1,MD101,Crude,BOC04,RAC08,23,POINT (-68.98503134 45.25422889)
2019,GA,Georgia,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",5436.7,5436.7,,,5302.5,5574.3,Race,Non-Hispanic Black,C1,T1,MD101,Crude,BOC04,RAC02,13,POINT (-83.62758035 32.83968109)
2019,OR,Oregon,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",2423.5,2423.5,,,2082.4,2820.3,Race,Other,C1,T2,MD201,Crude,BOC04,RAC07,41,POINT (-120.1550313 44.56744942)
2019,OR,Oregon,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of in-hospital mortality among major cardiovascular disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),2.2,2.2,,,0.7,6.8,Race,Unknown,C1,T1,MD103,Crude,BOC04,RAC08,41,POINT (-120.1550313 44.56744942)
2019,MO,Missouri,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of in-hospital mortality among major cardiovascular disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),4.5,4.5,,,4.3,4.8,Race,Non-Hispanic White,C1,T1,MD103,Crude,BOC04,RAC01,29,POINT (-92.56630005 38.63579078)
2019,ND,North Dakota,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",1282.1,1282.1,,,320.6,5126.2,Race,Non-Hispanic Asian,C1,T1,MD101,Crude,BOC04,RAC03,38,POINT (-100.118421 47.47531978)
2019,AL,Alabama,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",6119.8,6119.8,,,5918.2,6328.2,Race,Non-Hispanic Black,C1,T1,MD101,Crude,BOC04,RAC02,1,POINT (-86.63186076 32.84057112)
2019,TX,Texas,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",2692.1,2692.1,,,2518.2,2877.9,Race,Other,C1,T2,MD201,Crude,BOC04,RAC07,48,POINT (-99.42677021 31.82724041)
2019,CT,Connecticut,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",2448.2,2448.2,,,2137.8,2803.6,Race,Unknown,C1,T1,MD101,Crude,BOC04,RAC08,9,POINT (-72.64984095 41.56266102)
2019,MT,Montana,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",2272.7,2272.7,,,1021.0,5058.8,Race,Non-Hispanic Asian,C1,T2,MD201,Crude,BOC04,RAC03,30,POINT (-109.4244206 47.06652897)
2019,OH,Ohio,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),1.7,1.7,,,0.9,3.2,Race,Unknown,C1,T2,MD203,Crude,BOC04,RAC08,39,POINT (-82.40426006 40.06021014)
2019,VI,Virginia,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",6912.6,6912.6,,,6829.7,6996.6,Age,75+,C1,T1,MD101,Crude,BOC03,AGE08,51,POINT (-78.45789046 37.54268067)
2019,VI,Virginia,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),4.8,4.8,,,4.2,5.5,Race,Non-Hispanic Black,C1,T2,MD203,Crude,BOC04,RAC02,51,POINT (-78.45789046 37.54268067)
2019,RI,Rhode Island,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of in-hospital mortality among major cardiovascular disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),4.0,4.0,,,3.2,5.1,Gender,Female,C1,T1,MD103,Crude,BOC02,GEN02,44,POINT (-71.52247031 41.70828019)
2019,MO,Missouri,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of in-hospital mortality among major cardiovascular disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),6.1,6.1,,,2.3,16.1,Race,Hispanic,C1,T1,MD103,Crude,BOC04,RAC04,29,POINT (-92.56630005 38.63579078)
2019,NB,Nebraska,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of in-hospital mortality among major cardiovascular disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),5.9,5.9,,,5.3,6.6,Age,75+,C1,T1,MD103,Crude,BOC03,AGE08,31,POINT (-99.36572062 41.64104099)
2019,CA,California,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),5.3,5.3,,,4.5,6.2,Race,Other,C1,T2,MD203,Crude,BOC04,RAC07,6,POINT (-120.9999995 37.63864012)
2019,CO,Colorado,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",5166.7,5166.7,,,5048.9,5287.2,Age,75+,C1,T1,MD101,Crude,BOC03,AGE08,8,POINT (-106.1336109 38.84384076)
2019,OR,Oregon,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),5.0,5.0,,,4.4,5.7,Gender,Female,C1,T2,MD203,Crude,BOC02,GEN02,41,POINT (-120.1550313 44.56744942)
2019,MO,Missouri,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",4795.0,4795.0,,,4717.8,4873.5,Gender,Female,C1,T1,MD101,Crude,BOC02,GEN02,29,POINT (-92.56630005 38.63579078)
2019,CA,California,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of in-hospital mortality among major cardiovascular disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),6.3,6.3,,,5.6,7.2,Race,Other,C1,T1,MD103,Crude,BOC04,RAC07,6,POINT (-120.9999995 37.63864012)
2019,VT,Vermont,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",2681.4,2681.4,,,1666.9,4313.3,Race,Other,C1,T2,MD201,Crude,BOC04,RAC07,50,POINT (-72.51764079 43.62538124)
2019,SC,South Carolina,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",5292.1,5292.1,,,5203.1,5382.5,Gender,Male,C1,T1,MD101,Crude,BOC02,GEN01,45,POINT (-81.04537121 33.9988213)
2019,KS,Kansas,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",2868.1,2868.1,,,2452.8,3353.7,Race,Unknown,C1,T1,MD101,Crude,BOC04,RAC08,20,POINT (-98.20078123 38.3477403)
2019,WA,Washington,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),5.4,5.4,,,5.1,5.7,Race,Non-Hispanic White,C1,T2,MD203,Crude,BOC04,RAC01,53,POINT (-120.4700108 47.52227863)
2019,OH,Ohio,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",4331.3,4331.3,,,3881.1,4833.7,Race,Other,C1,T1,MD101,Crude,BOC04,RAC07,39,POINT (-82.40426006 40.06021014)
2019,SD,South Dakota,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),5.2,5.2,,,4.2,6.5,Gender,Female,C1,T2,MD203,Crude,BOC02,GEN02,46,POINT (-100.3735306 44.35313005)
2019,DE,Delaware,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of in-hospital mortality among major cardiovascular disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),3.3,3.3,,,0.8,13.1,Race,Unknown,C1,T1,MD103,Crude,BOC04,RAC08,10,POINT (-75.57774117 39.00883067)
2019,DE,Delaware,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",3275.9,3275.9,,,3009.5,3565.8,Race,Non-Hispanic Black,C1,T2,MD201,Crude,BOC04,RAC02,10,POINT (-75.57774117 39.00883067)
2019,NY,New York,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),5.1,5.1,,,4.9,5.3,Race,Non-Hispanic White,C1,T2,MD203,Crude,BOC04,RAC01,36,POINT (-75.54397043 42.82700103)
2019,WV,West Virginia,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",5799.6,5799.6,,,5657.9,5944.8,Gender,Female,C1,T1,MD101,Crude,BOC02,GEN02,54,POINT (-80.71264013 38.6655102)
2019,ID,Idaho,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",3653.8,3653.8,,,3511.7,3801.7,Age,75+,C1,T2,MD201,Crude,BOC03,AGE08,16,POINT (-114.36373 43.68263001)
2019,WI,Wisconsin,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",6778.4,6778.4,,,6664.1,6894.7,Age,75+,C1,T1,MD101,Crude,BOC03,AGE08,55,POINT (-89.81637074 44.39319117)
2019,MT,Montana,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),0.0,0.0,,,-1.0,-1.0,Race,Non-Hispanic Black,C1,T2,MD203,Crude,BOC04,RAC02,30,POINT (-109.4244206 47.06652897)
2019,AR,Arizona,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),3.6,3.6,,,3.3,3.9,Race,Non-Hispanic White,C1,T2,MD203,Crude,BOC04,RAC01,4,POINT (-111.7638113 34.86597028)
2019,CA,California,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",2998.9,2998.9,,,2973.0,3024.9,Race,Non-Hispanic White,C1,T2,MD201,Crude,BOC04,RAC01,6,POINT (-120.9999995 37.63864012)
2019,DE,Delaware,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),2.9,2.9,,,2.2,3.7,Gender,Female,C1,T2,MD203,Crude,BOC02,GEN02,10,POINT (-75.57774117 39.00883067)
2019,US,United States,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of in-hospital mortality among major cardiovascular disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),4.5,4.5,,,4.5,4.6,Race,Non-Hispanic White,C1,T1,MD103,Crude,BOC04,RAC01,59,
2019,IL,Illinois,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),4.0,4.0,,,2.6,6.3,Race,Non-Hispanic Asian,C1,T2,MD203,Crude,BOC04,RAC03,17,POINT (-88.99771018 40.48501028)
2019,NV,Nevada,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",3645.8,3645.8,,,3533.3,3761.8,Gender,Male,C1,T2,MD201,Crude,BOC02,GEN01,32,POINT (-117.0718406 39.49324039)
2019,VT,Vermont,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",1694.9,1694.9,,,238.8,12032.3,Race,Hispanic,C1,T1,MD101,Crude,BOC04,RAC04,50,POINT (-72.51764079 43.62538124)
2019,SC,South Carolina,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",3352.1,3352.1,,,3300.4,3404.7,Race,Non-Hispanic White,C1,T2,MD201,Crude,BOC04,RAC01,45,POINT (-81.04537121 33.9988213)
2019,IA,Iowa,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",3716.6,3716.6,,,2963.8,4660.5,Race,Other,C1,T1,MD101,Crude,BOC04,RAC07,19,POINT (-93.81649056 42.46940091)
2019,WA,Washington,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),3.3,3.3,,,1.7,6.3,Race,Unknown,C1,T2,MD203,Crude,BOC04,RAC08,53,POINT (-120.4700108 47.52227863)
2019,KS,Kansas,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",4855.0,4855.0,,,4778.0,4933.3,Race,Non-Hispanic White,C1,T1,MD101,Crude,BOC04,RAC01,20,POINT (-98.20078123 38.3477403)
2019,NM,New Mexico,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",4073.8,4073.8,,,3940.5,4211.7,Gender,Male,C1,T1,MD101,Crude,BOC02,GEN01,35,POINT (-106.240581 34.52088095)
2019,WI,Wisconsin,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",5793.1,5793.1,,,5205.6,6446.9,Race,Other,C1,T1,MD101,Crude,BOC04,RAC07,55,POINT (-89.81637074 44.39319117)
2019,PA,Pennsylvania,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",4630.4,4630.4,,,4577.0,4684.3,Gender,Female,C1,T1,MD101,Crude,BOC02,GEN02,42,POINT (-77.86070029 40.79373015)
2019,AL,Alabama,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",3826.0,3826.0,,,3073.1,4763.3,Race,Other,C1,T2,MD201,Crude,BOC04,RAC07,1,POINT (-86.63186076 32.84057112)
2019,KY,Kentucky,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,"Prevalence of in-hospital mortality among major cardiovascular disease hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),5.7,5.7,,,4.4,7.4,Race,Non-Hispanic Black,C1,T1,MD103,Crude,BOC04,RAC02,21,POINT (-84.77497105 37.64597027)
2019,WI,Wisconsin,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",3490.2,3490.2,,,3435.3,3545.9,Race,Non-Hispanic White,C1,T2,MD201,Crude,BOC04,RAC01,55,POINT (-89.81637074 44.39319117)
2019,WY,Wyoming,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),0.0,0.0,,,0.0,0.0,Race,Unknown,C1,T2,MD203,Crude,BOC04,RAC08,56,POINT (-108.1098304 43.23554134)
2019,ND,North Dakota,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),5.7,5.7,,,4.6,7.1,Gender,Male,C1,T2,MD203,Crude,BOC02,GEN01,38,POINT (-100.118421 47.47531978)
2019,MA,Massachusetts,Medicare,None,,None,,Cardiovascular Diseases,Major Cardiovascular Disease,Major cardiovascular disease hospitalization rate among Medicare Fee-For-Service beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",5760.5,5760.5,,,5674.7,5847.7,Gender,Male,C1,T1,MD101,Crude,BOC02,GEN01,25,POINT (-72.08269067 42.27687047)
2019,RI,Rhode Island,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),"Prevalence of in-hospital mortality among diseases of the heart (heart disease) hospitalizations, Medicare Fee-For-Service beneficiaries (65+); CMS Medicare",Crude,Percent (%),6.8,6.8,,,2.5,18.1,Race,Non-Hispanic Black,C1,T2,MD203,Crude,BOC04,RAC02,44,POINT (-71.52247031 41.70828019)
2019,CO,Colorado,Medicare,None,,None,,Cardiovascular Diseases,Diseases of the Heart (Heart Disease),Diseases of the heart (heart disease) hospitalization rate among Medicare beneficiaries (65+); CMS Medicare,Crude,"Rate per 100,000",1496.7,1496.7,,,1127.9,1986.1,Race,Non-Hispanic Asian,C1,T2,MD201,Crude,BOC04,RAC03,8,POINT (-106.1336109 38.84384076)
